Scenario,Station,Pattern,N,Mean,Std,Min,Max,Median
Maximum 2-hour Rainfall Intensity,Geumcheon,Simultaneous,19,21.63,11.83,9.25,47.75,16.25
Maximum 2-hour Rainfall Intensity,Geumcheon,Non-simultaneous,7,21.75,20.54,7.75,64.5,10.5
Maximum 2-hour Rainfall Intensity,Gadeok,Simultaneous,19,17.5,7.45,7.25,28.0,13.0
Maximum 2-hour Rainfall Intensity,Gadeok,Non-simultaneous,7,19.89,7.49,6.0,29.25,19.75
