Scenario,Station,Pattern,N,Mean,Std,Min,Max,Median
Maximum 1-hour Rainfall Intensity,Geumcheon,Simultaneous,19,26.08,13.19,9.5,56.0,21.5
Maximum 1-hour Rainfall Intensity,Geumcheon,Non-simultaneous,7,30.29,25.11,10.5,80.0,17.0
Maximum 1-hour Rainfall Intensity,Gadeok,Simultaneous,19,21.37,8.95,8.5,32.5,18.5
Maximum 1-hour Rainfall Intensity,Gadeok,Non-simultaneous,7,27.14,11.21,8.5,42.0,25.5
